"player_id","first_name","last_name","sex"
"208","Darren","Edgington","m"
"209","Julie","Edgington","f"
"210","Jan","Ekman","m"
"211","Tim","Elad","m"
"212","Allen","Elliott","m"
"213","Tex","Elliott","m"
"214","Peter","Ellis","m"
"215","John","Elsner","m"
"216","Billy","Emerson","m"
"217","Carl","Emerson","m"
"218","Debbie","Emerson","f"
"219","Brad","Emery","m"
"220","Mark","Enright","m"
"221","Hal","Erickson","m"
"222","Svante","Ericksson","m"
"223","Doug","Ertmann","m"
"224","Michael","Esterbrook","m"
"225","Danny","Evanns","m"
"226","Chad","Evans","m"
"227","Everett","Evans","m"
"228","Craig","Ewing","m"
"229","Dan","Exelby","m"
"230","Per","Fällgren","m"
"231","Jeff","Fante","m"
"232","Randy","Fargher","m"
"233","Enrique","Faria","m"
"234","Stuart","Farquharson","m"
"235","Matt","Fausch","m"
"236","Jeff","Felberbaum","m"
"237","Alicia","Feltus","f"
"238","Andreas","Fernlund","m"
"239","Sam","Ferrans","m"
"240","Chris","Filer","-"
"241","Aksel","Finborud","m"
"242","Thomas","Finborud","m"
"243","Morgan","Fiorani","m"
"244","Alan","Flood","m"
"245","Hans Marius","Flotten","m"
"246","Ken","Folger","m"
"247","Tom","Ford","m"
"248","Ake","Forsgren","m"
"249","Josh","Forsyth","m"
"250","Shannon","Fosdick","-"
"251","Mattias","Franzen","m"
"252","Lawrence","Frederick","m"
"253","Wally","Free","m"
"254","Jon","Freedman","m"
"255","Jeff","Freeman","m"
"256","Roger","French","m"
"257","Steve","French","m"
"258","Rob","Fried","m"
"259","Matt","Frymoyer","m"
"260","Paul","G'Sell","m"
"261","Paul","Galloway","m"
"262","Diego","Gamboa","m"
"263","Craig","Gangloff","m"
"264","Joe","Garcia","m"
"265","Neil","Gardner","m"
"266","Betty","Garner","f"
"267","Jay","Garrison","m"
"268","Jake","Gauthier","m"
"269","Matt","Gauthier","m"
"270","Steve","Gaylor","m"
"271","Tim","Gellerman","m"
"272","Ryan","Genske","m"
"273","Bob","Gentil","m"
"274","Andy","Gerson","m"
"275","Jeff","Getty","m"
"276","Barry","Gill","m"
"277","Mike","Gill","m"
"278","Andy","Ginthum","m"
"279","Edward","Giroux","m"
"280","Kevin","Givens","m"
"281","Tom","Gleason","m"
"282","Matt","Goldfarb","m"
"283","Blake","Goss","m"
"284","Bob","Gossett","m"
"285","Jim","Goude","m"
"286","Bob","Graham","m"
"287","Joe","Graham","m"
"288","Nathan","Grant","m"
"289","Anne","Graves","f"
"290","Heather","Gray","f"
"291","Jeff","Green","m"
"292","John","Green","m"
"293","John","Greensage","m"
"294","David","Greenwell","m"
"295","Dave","Griffin","m"
"296","Jennifer","Griffin","f"
"297","Brendan","Griffith","m"
"298","Jeff","Groman","m"
"299","Deana","Guadagno","f"
"300","Speedy","Guerrero","m"
"301","Jake","Gundry","m"
"302","Conny","Gustavsson","-"
"303","Svein","Hagaseth","m"
"304","Ken","Hambleton","m"
"305","Curtis","Hamlin","m"
"306","Brad","Hammock","m"
"307","James","Hancock","m"
"308","Steve","Hanes","m"
"309","Evan","Hanneman","m"
"310","Scott","Hanning","m"
"311","Jill","Hanson-Simon","f"
"312","Magnus","Hansson","m"
"313","Graeme","Hargraves","m"
"314","Jeff","Harper","m"
"315","Lee","Harper","m"
"316","Bob","Harrell","m"
"317","Sean","Harrigan","m"
"318","Gary","Harris","m"
"319","Mustang","Harris","m"
"320","Trevor","Harris","m"
"321","Nick","Hart","m"
"322","Joy","Hartwell","m"
"323","Steve","Hartwell","m"
"324","Wesley","Hartwell","m"
"325","Gabe","Harvell","m"
"326","Tom","Hausmann","m"
"327","Hikari","Hayato","m"
"328","Steve","Hays","m"
"329","Shane","Hedrick","m"
"330","Steve","Held","m"
"331","Jason","Heline","m"
"332","James","Hendricks","m"
"333","Peter","Henriksson","m"
"334","Ron","Henson","m"
"335","Bob","Herbert","m"
"336","Sten","Hermodsson","m"
"337","Jim","Herrick","m"
"338","Liz","Applegate","F"
"339","David","Hesselberth","m"
"340","Brad","Hester","m"
"341","Chris","Hill","-"
"342","Chris","Himing","-"
"343","Mitch","Hinard","m"
"344","Jay","Hinkle","m"
"345","Greg","Hinkley","m"
"346","Paul","Hobson","m"
"347","Don ""Duster""","Hoffman","M"
"348","Erik","Hoh","m"
"349","Gören","Holm","m"
"350","Tom","Holsten","m"
"351","Pat","Holt","m"
"352","Jeff","Homberg","m"
"353","Kerry","Hood","-"
"354","Christopher","Horn","m"
"355","Mark","Horn","m"
"356","Susie","Horn","f"
"357","Avi","Horowitz","-"
"358","Gregg","Hosfeld","m"
"359","John","Houck","m"
"360","Steve","Howard","m"
"361","Pontus","Howding","m"
"362","Steve","Hubbard","m"
"363","Joey","Hudoklin","m"
"364","Mag","Hughes","m"
"365","Mike","Hughes","m"
"366","Don","Hunkel","m"
"367","Lisa","Hunrichs","F"
"368","Hal","Hunt","m"
"369","Mark","Ide","m"
"370","Larry","Imperiale","M"
"371","John","Ince","m"
"372","Scotty","Inman","m"
"373","Mike","Isbister","m"
"374","Shahid","Islam","m"
"375","Petri","Isola","m"
"376","Luke","Itnyre","m"
"377","Kenny","Jackson","m"
"378","Penny","Jackson","f"
"379","Trixie","Jacob","f"
"380","John","Jaje","m"
"381","Marten","Jansson","m"
"382","Christine","Jarvis","f"
"383","Gary","Jarvis","m"
"384","Steve","Jennings","m"
"385","David","Jerome","m"
"386","Dave","Jewell","m"
"387","John","Jewell","m"
"388","Conrad","Joe","m"
"389","Dieter","Johansson","m"
"390","Peik","Johansson","-"
"391","Dave","Johnson","m"
"392","Jeff","Johnson","m"
"393","Nate","Johnson","m"
"394","Pete","Johnson","m"
"395","Rocky","Johnson","m"
"396","Steve","Johnson","m"
"397","Terry","Johnson","m"
"398","Anders","Johnsson","m"
"399","Dave","Jones","m"
"400","Lisa Lorber","Jones","f"
"401","Per","Jonsson","m"
"402","Tracey","Jordan","f"
